timediff; x; y; z; forward_x; forward_y; forward_z
1,32247;0;0;0;0;0;1
1,3214727;0;0;0;0;0;1
1,5882628;0;0;0;0;0;1
1,5882617;0;0;0;0;0;1
1,943098;0;0;0;0;0;1
1,9421006;0;0;0;0;0;1
2,3421016;0;0;0;0;0;1
2,3411014;0;0;0;0;0;1
2,6872296;0;0;0;0;0;1
2,6862323;0;0;0;0;0;1
2,9752065;0;0;0;0;0;1
2,9742097;0;0;0;0;0;1
3,2533186;0;0;0;0;0;1
3,2523212;0;0;0;0;0;1
3,5425084;0;0;0;0;0;1
3,5415112;0;0;0;0;0;1
3,8304744;0;0;0;0;0;1
3,8294765;0;0;0;0;0;1
4,1136581;0;0;0;0;0;1
4,1126563;0;0;0;0;0;1
4,3978573;0;0;0;0;0;1
4,3968606;0;0;0;0;0;1
